108131048,36121418
108161597,36143810
108174890,36155717
108239483,36203774
108415436,36295052
108611873,36421574
108620318,36427808
108650771,36449366
108790415,36506471
108792758,36508925
108894479,36571427
108909821,36584852
108976037,36619178
108995483,36630500
108997541,36632570
109000451,36635429
109004339,36638573
109030091,36657014
109048632,36672346
109095839,36708821
109129700,36731789
109161680,36755198
109268598,36837780
109487973,36991554
109509330,37005003
109630305,37091034
109679091,37125216
109705173,37144965
109709835,37148682
109717176,37153749
109742061,37173393
109760988,37184697
109794993,37206243
109848020,37243280
109915978,37286407
110009284,37348585
110056438,37380319
110061844,37384048
110068228,37387525
110110402,37417213
110126785,37425667
110129503,37427185
110144821,37435768
110155498,37441951
110155612,37442026
110169208,37449814
110188804,37460899
110214388,37484134
110261776,37508137
110378434,37585402
110448373,37642651
110455009,37649371
110517760,37697293
110567005,37730848
110600073,37751646
110622282,37767552
110636406,37776180
110662899,37794801
110680815,37808697
110689023,37814358
110691870,37817622
110695914,37820955
110730744,37843023
110858901,37919037
110883975,37935657
110913498,37951035
110919129,37953207
110926560,37961259
110970195,37988259
111022653,38017227
111031251,38022489
111035802,38024994
111064941,38056143
111090951,38068989
111169116,38116596
111341805,38236203
111523562,38359562
111540662,38372816
111540671,38372822
111548726,38378129
111599669,38416352
111627626,38436290
111651362,38455697
111651365,38455715
111651371,38455796
111651374,38455856
111776789,38539292
111797267,38552684
111802538,38559326
111822401,38574695
111830285,38579990
111868040,38605475
111880896,38611842
111926967,38641662
111965589,38749740
111967062,38669433
111997137,38688816
112004661,38694183
112034220,38717148
112034418,38723505
112041717,38722674
112042569,38723781
112098429,38760954
112113444,38769081
112133298,38781540
112138782,38785068
112145781,38790678
112174059,38805420
112180599,38809860
112197441,38822661
112219827,38835663
112226181,38839284
112228956,38841672
112261197,38859348
112262808,38860782
112277349,38853585
112278540,38865963
112281873,38868114
112283493,38870073
112285338,38871444
112315296,38891352
112329516,38899233
112353651,38909988
112366653,38918559
112389780,38930766
112405890,38939784
112407897,38941800
112426791,38953950
112427373,38954256
112437681,38963067
112454217,38971947
112458981,38973447
112466013,38977209
112481313,38987670
112483404,38988600
112496727,38996391
112511715,39005907
112518858,39009894
112522266,39012276
112590393,39062046
112595355,39066132
112625931,39084933
112672749,39115923
112677552,39120879
112677804,39121344
112677807,39121341
112750776,39154890
112770408,39168684
112771062,39169086
112788885,39178326
112789629,39178800
