lat,lng,quintile
54.546051479772,-1.2422261851434,4
54.550827257281,-1.2018885731848,1
54.6985595043,-1.2465582285819,5
54.553090261096,-1.1979048660597,1
54.692037826191,-1.2325862094703,2
54.555541863406,-1.2074282486109,1
54.69170241769,-1.2477420410408,5
54.547776537069,-1.1956290802862,1
54.683452369091,-1.2045302302513,1
54.559253377398,-1.2449810146211,1
54.6736440314,-1.2119658014668,1
54.561158198196,-1.2349624264728,1
54.549797188336,-1.2403185797334,4
54.564758616718,-1.1800757825965,1
54.548794837193,-1.2548710086298,4
54.561742519439,-1.1943966631708,1
54.555265087496,-1.4804247703455,3
54.532905211185,-1.5672804186337,2
54.534140874833,-1.5742008063775,4
54.535750104365,-1.5600448813442,1
54.535595924824,-1.5671835696418,3
54.519744897801,-1.5694323995467,4
54.515320819583,-1.5746737176723,5
55.005703045503,-1.6369124375244,2
55.019770686029,-1.6195293781004,5
55.008451361183,-1.6128420858301,3
55.008513131948,-1.6215247170965,5
55.014878496636,-1.6299015534285,3
55.01082238442,-1.6351720600056,2
54.990183565799,-1.6794424830083,2
55.012950704695,-1.6121359217395,4
55.015326124576,-1.6219660844285,4
54.9850625123,-1.5786824907821,3
54.615067273062,-1.3069775401556,4
54.6123675202,-1.3050013292416,5
54.569287712895,-1.3229803223238,1
54.610273520169,-1.3098740274468,5
54.575640513582,-1.3212015050978,1
54.572571374238,-1.3329848679866,2
54.588475381784,-1.3531154758169,1
54.573594461147,-1.3245045156841,1
54.582626877605,-1.3004100681456,1
54.583445967802,-1.3071155259358,3
54.944367479649,-1.6425107619773,3
54.950592184835,-1.5345738678458,4
54.943592386116,-1.647598639407,4
54.948361663958,-1.5294872506403,2
54.949297864165,-1.5893561754843,1
54.934394806545,-1.5507130323512,1
54.947301228656,-1.5957946698891,4
54.941067990668,-1.534328366273,3
54.94720168595,-1.5805780549133,2
54.944795328832,-1.5270455232477,4
54.950737984644,-1.5962791553566,1
54.9379908473,-1.5449949518652,1
54.963567865808,-1.7942368093952,5
54.943262843208,-1.5385265885341,1
54.943871046911,-1.5868839443263,1
54.954390542484,-1.7218760176729,1
54.948747954892,-1.6494045448522,2
54.975333926579,-1.6686230305593,1
54.955466436715,-1.6457484242681,2
54.976234236535,-1.6784567133723,2
55.037458511298,-1.5033932957868,2
55.043570509874,-1.491859016326,5
55.042774453511,-1.5259092714172,3
55.024831275112,-1.4318779605091,5
55.021575382849,-1.4345887372473,5
55.019505237641,-1.4244870957587,4
55.011789450238,-1.4377841348454,2
55.033651743745,-1.5015625164348,2
55.031730610783,-1.5074665471273,2
54.688521625662,-1.2234027857201,1
54.659421093675,-1.2471785126963,1
54.689467475831,-1.2090030349539,1
54.688383687265,-1.228064109778,1
54.688640416944,-1.218502096058,1
54.71581050527,-1.2540640720773,4
54.711595509741,-1.2528454647654,5
54.661107997623,-1.2397837179156,1
54.664312571382,-1.2409106179732,1
55.001737477165,-1.6872541475108,1
55.003404401779,-1.6855494084405,1
54.977959124083,-1.6493897907158,2
54.98645804795,-1.6512558184484,4
54.981899982484,-1.6499675269688,3
54.985868599318,-1.6574366407114,1
54.987857889493,-1.6642992656893,2
55.01807523997,-1.6900875089284,4
55.00830132859,-1.6863097743836,1
54.763385445676,-1.3212386030844,1
54.76201907995,-1.3131496614491,1
54.764149737489,-1.3177968119335,1
54.772266949474,-1.3252911322994,1
54.757490111848,-1.3897444053926,1
54.781854387373,-1.4171480550984,1
54.762936568906,-1.3941130939362,2
54.760416768852,-1.3837198749316,1
54.759219335596,-1.306582404431,1
54.754170903808,-1.3568923411089,2
54.905777133473,-1.4025416928901,1
54.918244866962,-1.3774722160785,3
54.903286991351,-1.4013370701771,2
54.923949286363,-1.3750744005039,4
54.90578661307,-1.4076291574067,2
54.887468691008,-1.3978301424495,4
54.906176354444,-1.3963770840333,1
54.887706502751,-1.3857941518676,5
54.907996718477,-1.3699926531285,1
54.890441936577,-1.3923082277171,5
54.90821940253,-1.3768703261196,1
54.888569264404,-1.4042448392353,5
54.908769581782,-1.3995190677756,2
54.893558384829,-1.3977539827728,4
54.908167992381,-1.412587538308,1
54.883634873567,-1.3792566558872,1
54.92070498048,-1.3889424863705,2
54.919329335276,-1.3676553562068,4
54.919603788007,-1.3944216556196,1
54.921788048561,-1.3791440496094,3
54.890351749875,-1.8394753894507,2
54.877705455105,-1.8284778019569,3
54.884217857179,-1.7482075082119,3
54.90095285666,-1.8152761949379,4
54.846802278235,-1.820891758305,2
54.875579163691,-1.7627606072758,2
54.842771053436,-1.8187984190845,3
54.840301091866,-1.8129954921269,3
54.798460090999,-1.6681550801188,2
54.798027756954,-1.6753297640966,4
54.99574805232,-1.4376721819933,1
54.986594806428,-1.4336087676548,1
54.982537323919,-1.4397941532121,1
54.96527041918,-1.4850351110601,1
54.969489367698,-1.4854464550134,1
54.977233362677,-1.4929089917237,2
54.977154354249,-1.4862147731521,1
54.98929629829,-1.4277637457431,1
54.967574553418,-1.4518707475083,1
55.782867788835,-2.010531645377,2
55.770085159573,-2.0037076088275,3
55.595775655659,-1.8254090258579,3
55.340981197888,-1.6162228025429,4
55.360010955987,-1.992972052636,2
55.311435705854,-1.7222582343503,5
55.371641897612,-1.6886112089487,3
55.778477631857,-2.0151421114324,4
55.755452912706,-2.0253329445789,5
55.135659961287,-1.5959615175233,3
55.139752682036,-1.5746971959046,3
